,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Waterbody,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River
Physella,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,0,0,0,0,0,0,0,0,0,0,0,0,93.47,39.48,79.74,0,0,0,0,0,0,0,0,0,4.441,25.3,130.9,0,0,0,0
Ferrissia,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menetus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,0,0,0,0,0,2.436,0,0,0,0,0,0,81.83,3.855,17.56,0,0,0,1.45,4.808,8.454,0,1.542,8.645,1.069,15.52,7.477,12.47,0,0,0
Juga,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Pleuroceridae,snails,0,0,0,0,0,0,0,0,0,0,0,0,0,76.34,159.8,145.6,0,4.093,145.6,108,1.542,1.727,1.542,0,0,0,0,0,0,0,0
Pisidium,U,non-insect,Aquatic,Mollusca: Bivalvia,x,Sphaeriidae,pea clams,0,0,0,0,0,0,0,0,0.3683,0,0,0,0,2.164,0,3.236,0,0,0.3799,0.5696,0,0,0.2848,0.3957,0,3.263,6.386,32.23,0,0,0.4646
Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,0,0.02031,0.1621,0,0.108,0,0,0,0.08223,0,0.3238,0.06477,3.126,0.3241,0.2593,0.4911,0.4862,1.037,0.1729,0.08644,0.04322,0,0,0,0,0,0.06483,0.02701,0.02161,0,0
Stygobromus,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Crangonyctidae,scuds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6788,0,0,0,0,0,0,0,0,0
Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,0,0,0,0,0,0,0,0,0,0,1.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caecidotea,U,non-insect,Aquatic,Crustacea: Isopoda,x,Asellidae,aquatic sow bugs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,14.05,0,0,0
Trombidiformes,U,non-insect,Aquatic,Arachnida: Acari,Trombidiformes,x,mites,0,0.0283,0,0,0,0,0,0,0,0,2.964,0,0,0.4516,0.3613,0,0,1.018,0,0.7988,0,0,0.1204,0,0,0,0,0,0,0,0
Atractides,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0,0,0,0,0.848,0,0,0,0,0,0.1694,0,0,0,0,0,0,1.018,0,0,0,0,0,0,0,0,0,0,0,0,0
Hygrobates,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0,0,0,0,0,0,0,0,0,0,0.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2828,0.2544,0.212,0,0,0
Lebertia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0,0.1594,0,1.018,0,0.177,0,0.08851,0.4302,1.939,0.1694,0.5384,2.72,3.392,9.158,15.42,11.45,5.088,0,0.6784,0.5088,0.678,0.7988,0.4622,0,0.2828,0.7632,0.03763,0,0.0424,0.2714
Oribatida,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.272,0,0.08031,0,0,0,0,0,0,0,0,0,0,0,0
Protzia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0,0,0,0,0.848,0,0,0,0,0,0.4658,0,0,0,0,1.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848,0
Sperchon,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1.272,0,1.272,0,0,0,0,0,0.2151,0,0,0,0,0.9985,5.088,0,3.816,3.053,0.4524,0.6784,0.848,0,0.7988,0,0,0,0,0,0,0,0
Sperchonopsis,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrenticola,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848,1.198,1.927,0,3.053,0,0.6784,0,0,0,0,0,0,0,0,0,0,0.04817
Ameletus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ameletidae,mayflies,0,0,3.173,0,0,0,0,0,10.61,0.691,30.85,0,0,0.7408,0,4.682,3.173,0,0.7041,6.348,0.7574,1.539,0.2963,0.5765,0,0,2.38,0.3299,0,0,0
Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,0,0,0,2.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,491.6,34.91,330.4,322.5,280.3,23.39,0,10.64,35.69,35.19,24.84,11.97,157.7,417.5,384.3,1091,907.4,615.3,153.4,75.28,40.74,36.66,91.89,178.5,191.8,177.5,191.3,142.7,50.31,35.86,135.5
Callibaetis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5.941,3.245,9.563,7.65,6.259,1.298,0.1988,0.2353,0.5917,0.5841,0.3805,1.866,40.9,2.332,0.9794,1.236,2.857,1.959,0,1.088,0.2907,0,0.2176,5.492,2.787,4.815,4.91,10.97,1.52,0.2916,3.844
Labiobaetis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,0,0,0,0,0,0,0,0,0,0,7.482,5.802,0,0,0,0,0,0,0,0,0,0,0,15.04,0,0,1.369,6.825,0,0,0
Attenella delantala,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,113.1,15.98,49.34,86.53,45.9,2.809,0,0,3.665,5.716,0,0,0,0,0,0,0,1.264,0,0,0.3827,0,0,5.202,10.45,0.6382,1.987,0,0,0,0
Caudatella columbiella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,3.365,0,0,2.83,0.9821,0,0.2468,0.0172,0,0,0,0,0,1.541,3.311,1.483,9.376,0,0.3481,0,0.6108,0,0.1951,0,0,0.3253,0,0,0.3256,0.1502,0.1582
Caudatella edmundsi,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,0,0.8852,2.87,0,14.14,0,1.947,0.1018,0,2.824,1.345,0.6228,4.999,42.45,45.44,214.7,249.3,195.8,51.55,58.39,10.73,15.89,52.03,4.732,10.01,11.02,7.951,14.76,2.149,1.272,9.177
Caudatella hystrix,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,59.76,0,29.88,14.68,42.32,0,4.632,0,0,0,0,6.013,0,19.92,14.68,105.8,244.4,125.5,31.37,0,3.984,0,0,0,0,0,0,0,0,0.996,2.154
Drunella doddsii,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,0,0,0,0,6.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drunella flavilinea,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,22.06,2.582,25.55,18.37,18.13,0.1932,1.795,0.8135,2.292,1.231,0.628,1.365,0,48,40.03,129,36.41,38.79,22.89,52.96,7.573,10.73,30.66,1.534,1.298,0.6769,0.5085,1.004,3.125,1.309,1.599
Drunella grandis/spinifera,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.8,0,0,0,0,0,0,0,0,0,0,0
Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,153.4,34.39,159.7,105.5,110.7,47.46,0,6.303,313.4,832.2,112.9,472.8,517.4,316.1,316.4,675.5,456.6,386.2,277,668.2,74.29,142.7,143.1,44.58,24.97,48.49,202.6,42.22,2.026,1.382,21.29
Afghanurus criddlei,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.545,0,0,0,0,0,0,0
Cinygma,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,0.7918,0,0,0,0,0.1102,3.075,0,26.81,2.569,10.84,8.049,12.61,0,47.23,0,0,0,0,0,0,0,0.2111,4.279,0,0,0,1.361,0,0,7.686
Cinygmula,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,307.2,56.15,314.5,335,234,2.38,2.058,0.4752,2.828,3.124,0.2329,0,0,93.36,0,87.67,113.6,42.79,6.495,31.2,6.085,2.519,7.592,14.33,21.83,11.91,2.276,8.195,2.378,0.6515,3.229
Epeorus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,7.328,1.937,7.847,8.453,3.321,0.05509,0.6165,0.05411,0,0,0,0,0,16.62,20.25,47.92,29.91,14.27,2.36,20.04,2.548,0.9654,3.079,0,0.03456,0.3888,0,0.2639,0.2212,0,0.0553
Epeorus longimanus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7121,0,0,0,0,0,0,0,0,0,0
Ironodes,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,11.8,9.973,21.81,0,134.8,47.08,13.02,14.91,17.04,17.91,51.81,25.27,85.07,0,0,0,0,0,0,0,0,0,0,23.01,10.72,40.13,0,16.9,27.35,31.52,45.87
Rhithrogena,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,464.8,9.807,0,0,146.7,0,0,0,0,0,2.905,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0
Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,14.34,1.053,19.07,5.463,5.844,2.977,0.417,0,7.19,5.892,2.952,8.058,105.2,34.19,21.47,64.82,27.31,7.188,2.602,5.688,0.9105,1.41,0.5461,22.87,3.898,28.39,4.654,0.7786,1.352,0,3.808
Chloroperlidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,1.501,0.1292,1.893,0.8246,2.074,0,0,0,0,0,0,0,0,0,3.313,0,0,2.339,0.6732,1.559,0.06277,0,0.1255,0,0,0,0,0,0,0,0
Sweltsa,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,12.51,5.639,0,0,0,2.176,0,0,0,0,0,0,0,178.8,100.1,81.21,243.1,256.9,30.62,21.92,7.505,10.95,5.48,0,0,0,0,0,0,0,0
Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,0,0.03369,0.4032,0.1075,0.1792,0.1944,0,0,0.04546,0,0,0,0.7185,0,0,0,0,0.1075,0,0,0,0,0,0,0,0,0,0,0.00896,0,0.172
Zapada oregonensis group,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,0,0,0,0,0,0,1.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calineuria californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,0,0,0,0,0,0,0,0,0,0,0,0,0,58.02,32.56,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,0,0
Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,397.7,0,411.9,342.4,182.1,243,2.596,67.96,29.58,8.998,7.217,5.504,113,1202,1294,350.1,905.3,903.6,210.5,692.7,44.13,400.1,27.62,129.1,49.89,239,209.5,0,0,0,227.4
Perlodidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,0,0,0,0,0,0,0,0,0,1.264,0,0,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0
Cultus,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,562.4,37.16,64,48.99,101.7,16.82,0,0.6227,14.75,53,10.09,0,22.51,96.69,545.8,274.2,526.7,517.4,180.9,17.77,29.31,129.9,57.25,23.06,36.21,6.809,2.92,28.92,3.991,0,27.88
Isoperla,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,0,0,0,0,0,0,0,0,53.9,0,44.24,576.3,61.76,0,0,0,3.147,0,0,0,0,0,0,17.31,8.657,158.7,19.53,0,0.2098,0,0
Isoperlinae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,77.64,0,0,0,0,2.701,0,0,6.565,4.585,0,8.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perlinodes aurea,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,75.21,190.9,106.8,0,0,0,0,0,0,0,0,0,0,106.8,0,0,118.9,95.47,0,43.38,106.8,0,0,0,0,0,0,131.9,0,0,0
Skwala,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,0,707.1,1027,984.3,115.8,54.93,127.7,0,854.7,386.6,184.8,0,230.1,0,66.2,0,0,0,115.8,458.1,507.2,93.7,0,31.41,31.41,43.38,26.31,0,0,0,0
Yoraperla,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Peltoperlidae,stoneflies,0,0,0,0,0,0,0.1893,0,0,0,27.16,0,2.647,0,0.9902,0,0,0,0,0,0,0,0.3301,0,0.3627,27.65,0,0.4533,0.544,0,0
Pteronarcella,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.98,0,0,0
Pteronarcys californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,609.7,1.03,0,0,0,0,0,0,1.389,33.7,0,0,0,959.2,1198,830.4,1862,471.5,158.9,213.7,194,790.9,7.126,0,0,0,0,0.7712,0,0,0
Corixidae,A,insect,Aquatic,Arthropoda: Insecta,Hemiptera: Heteroptera,Corixidae,water boatman,0,0,0,0,0,0,0,0,0,0,0,0,22.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corixidae,L,insect,Aquatic,Arthropoda: Insecta,Hemiptera: Heteroptera,Corixidae,water boatman,0,0,0,0,0,0,0,0,0,0,18.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orohermes crepusculus,L,insect,Aquatic,Arthropoda: Insecta,Megaloptera,Corydalidae,hellgramites/dobsonflies,0,0,0,0,0,0,0,0,0,0,0,0,0,68.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sialis,L,insect,Aquatic,Arthropoda: Insecta,Megaloptera,Sialidae,alderflies,0,0,0,0,0,0,0,0,0,39.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedomoecus sierra,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Apataniidae,caddisflies,0,0,0,0,0,1.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amiocentrus aspilus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,0,0,0,0,0,0,0,0,0.1056,0,0,0,0,0,0,0,1.405,0,0.2221,0,0,0.03539,0,0,0,0,0.1249,0,0,0,0
Brachycentrus americanus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,12.98,0.3303,20.54,3.585,8.854,0,0.0979,0.2813,9.795,26.28,3.026,0.1874,27.62,0.9379,19.41,15.71,17.94,7.786,0,0,0,0,2.39,17.67,1.652,6.673,10.42,0.7468,0.1757,0.51,0
Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,14.58,0.1447,0,7.463,2.635,2.132,1.398,0,3.579,5.595,8.852,0.8171,27.22,86.54,100.1,273.7,210.7,164.5,102.8,121.8,11.04,75.63,112.3,5.917,14.36,35.54,10.32,1.976,3.635,1.303,10.76
Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,1.529,4.942,0,0,0,0,0,0,0,0,0,0,0,26.28,9.506,0,0,18.39,22.12,0,8.294,0.2717,36.25,0,3.066,0,0,0,0,0,0.1393
Glossosoma,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,31.54,0,63.08,3.066,0,0,0,0,0,0,0,0,0,0
Arctopsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,0,39.48,62.35,23.59,17.33,0,0,0,0,0,0,0,0,477.4,40.21,148.6,120.6,117.8,71.01,54.76,62.35,43.92,38.25,45.31,0,0,31.17,0,0,0,0
Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,121.9,20.93,1158,108,259.5,4.874,2.341,0,21.73,70.03,13.58,63.89,48.15,643.6,787.1,568.9,1849,562.9,476.8,549.5,127.7,341,270,3.475,6.534,24.58,7.833,10.01,3.517,0,22.96
Agraylea,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,0,7.602,25.93,0,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,3.041,0.6813,0,2.432,3.14,0,0,0,0.5142,0.3946,0,0,6.973,5.167,0,0,0,4.537,0,0,0.4054,0,0,2.57,0.2416,2.242,2.432,2.445,0,0,0
Lepidostoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,0,0,0,0,0,0,0,0,1.261,0,0,6.391,2.296,0,0,0,0,28.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidostoma (Neodinarthrum),L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,7.459,0,5.237,12.34,8.981,1.302,0,0,1.261,0,0.6976,1.691,0,10.47,25.59,90.12,0,21.69,0,2.793,0.9946,2.651,0,0,0.6983,0,3.742,0,0,0,0
Lepidostoma unicolor group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,2.131,4.091,2.188,4.512,2.817,0,0
Mystacides,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Leptoceridae,caddisflies,0,0,0,0,0,0,0,0,0,0,0.6078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,0,0,0,0,0,0,0,0,0,0,0,0.5041,1.508,0,0,0,0,0,0,0,0,0,0,0.1332,0,0,0,0,0,0,0
Dicosmoecus gilvipes,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,0,0,0,0,0,0,0,0,10.22,0,2.87,1.054,4.046,5.273,0,0,2.408,0,0,0,0,0,0,1.017,2.688,1.245,2.24,0.6308,0,0,0
Hydatophylax hesperus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,0,0,0,0,0,115.6,0,0,239.1,478.1,253.4,72.78,239.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onocosmoecus unicolor,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,0,0,0,0,104.5,5.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychoglypha,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,0,0,0,0,0,0,0,0,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychoglypha bella,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,0,0,0,0,0,2.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptilostomis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Phryagaeidae,caddisflies,0,0,0,0,0,0,0,0,0,0,0,278.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polycentropus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Polycentopodidae,caddisflies,0,0,32.9,0,0,0,0,0,7.496,0,0,0,317.7,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0
Rhyacophila arnaudi,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,0,0,0,0,0,0,0,0,26.66,19.15,0,0,0,0,13.08,5.51,13.08,0,0,0,0,0,26.15,0,0,0,0,0,0,0,0
Rhyacophila arnaudi,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,0,0,0,0,0,0,0,0,0,15.93,0,0,0,0,0,7.518,0,0,0,0,3.759,0,0,0,0,0,0,0,0,0,0
Rhyacophila betteni group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,0,14.32,112.8,0,80.34,0,0,0,0,0,0,0,0,0,0,0,1.326,0,0,0,0,0,0,0,0,0,0,1.233,0,0,0
Rhyacophila brunnea/vemna group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,33.24,72.49,9.904,79.25,54.27,3.244,10.88,0.1604,0.8981,1.945,63.69,29.36,13.75,0,34.65,367,243.5,57.4,14.43,29.47,7.673,44.29,129.2,5.522,9.39,20.26,4.8,19.03,12.2,25.73,46.48
