"Taxon","Treatment","Season","Replicate","Substrate","Date","Insect","Origin","Higher.classification","Order","Family","Common.name","Biomass"
"Agraylea","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Disturbed","Fall19","1","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",0
"Ameletus","Disturbed","Fall19","2","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",0
"Ameletus","Disturbed","Fall19","3","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",7.982303955
"Ameletus","Disturbed","Spring20","1","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",2.655171807
"Ameletus","Disturbed","Spring20","2","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",6.078163749
"Ameletus","Disturbed","Spring20","3","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",19.53258864
"Ameletus","Disturbed","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Disturbed","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Disturbed","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Spring20","1","Submerged Wood","2020-05-07","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",0
"Ameletus","Relic Channel","Spring20","2","Submerged Wood","2020-05-07","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",22.12720949
"Ameletus","Relic Channel","Spring20","3","Submerged Wood","2020-05-07","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ameletidae","mayflies",0
"Ameletus","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletus","Relic Channel","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Spring20","1","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",0.043452997
"Amiocentrus aspilus","Disturbed","Spring20","2","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",0
"Amiocentrus aspilus","Disturbed","Spring20","3","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",0
"Amiocentrus aspilus","Disturbed","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Fall19","1","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",0.13035899
"Amiocentrus aspilus","Relic Channel","Fall19","2","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",0
"Amiocentrus aspilus","Relic Channel","Fall19","3","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",0
"Amiocentrus aspilus","Relic Channel","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amiocentrus aspilus","Relic Channel","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Fall19","1","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Amphizoidae","trout stream beetles",0
"Amphizoa","Disturbed","Fall19","2","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Amphizoidae","trout stream beetles",0
"Amphizoa","Disturbed","Fall19","3","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Amphizoidae","trout stream beetles",1.849530723
"Amphizoa","Disturbed","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Fall19","1","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Amphizoidae","trout stream beetles",0.726443381
"Amphizoa","Relic Channel","Fall19","2","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Amphizoidae","trout stream beetles",0
"Amphizoa","Relic Channel","Fall19","3","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Amphizoidae","trout stream beetles",0
"Amphizoa","Relic Channel","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphizoa","Relic Channel","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampumixis dispar","Disturbed","Fall19","1","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",2.17676278
"Ampumixis dispar","Disturbed","Fall19","2","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",1.37032035
"Ampumixis dispar","Disturbed","Fall19","3","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",5.349951666
"Ampumixis dispar","Disturbed","Spring20","1","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0
"Ampumixis dispar","Disturbed","Spring20","2","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",2.048990143
"Ampumixis dispar","Disturbed","Spring20","3","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0.221532167
"Ampumixis dispar","Disturbed","Summer19","1","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",8.037882562
"Ampumixis dispar","Disturbed","Summer19","2","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",2.756270777
"Ampumixis dispar","Disturbed","Summer19","3","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",4.678207972
"Ampumixis dispar","Disturbed","Winter20","1","Submerged Wood","2020-02-23","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0
"Ampumixis dispar","Disturbed","Winter20","2","Submerged Wood","2020-02-23","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",1.109076808
"Ampumixis dispar","Disturbed","Winter20","3","Submerged Wood","2020-02-23","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0
"Ampumixis dispar","Relic Channel","Fall19","1","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0.702442047
"Ampumixis dispar","Relic Channel","Fall19","2","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0.210044521
"Ampumixis dispar","Relic Channel","Fall19","3","Submerged Wood","2019-10-17","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0
"Ampumixis dispar","Relic Channel","Spring20","1","Submerged Wood","2020-05-07","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",1.610538851
"Ampumixis dispar","Relic Channel","Spring20","2","Submerged Wood","2020-05-07","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0.663349684
"Ampumixis dispar","Relic Channel","Spring20","3","Submerged Wood","2020-05-07","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0
"Ampumixis dispar","Relic Channel","Summer19","1","Submerged Wood","2019-07-11","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",6.122227186
"Ampumixis dispar","Relic Channel","Summer19","2","Submerged Wood","2019-07-11","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",1.337546538
"Ampumixis dispar","Relic Channel","Summer19","3","Submerged Wood","2019-07-11","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0
"Ampumixis dispar","Relic Channel","Winter20","1","Submerged Wood","2020-02-25","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0.250293214
"Ampumixis dispar","Relic Channel","Winter20","2","Submerged Wood","2020-02-25","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0
"Ampumixis dispar","Relic Channel","Winter20","3","Submerged Wood","2020-02-25","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",0.278719297
"Anafroptilum","Disturbed","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Spring20","1","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0
"Anafroptilum","Disturbed","Spring20","2","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0
"Anafroptilum","Disturbed","Spring20","3","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0.064931222
"Anafroptilum","Disturbed","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anafroptilum","Relic Channel","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Disturbed","Fall19","1","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0
"Antocha","Disturbed","Fall19","2","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0.031058172
"Antocha","Disturbed","Fall19","3","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0.408800688
"Antocha","Disturbed","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Disturbed","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Disturbed","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Disturbed","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Disturbed","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Disturbed","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Disturbed","Winter20","1","Submerged Wood","2020-02-23","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0
"Antocha","Disturbed","Winter20","2","Submerged Wood","2020-02-23","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0.092103589
"Antocha","Disturbed","Winter20","3","Submerged Wood","2020-02-23","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0
"Antocha","Relic Channel","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antocha","Relic Channel","Winter20","1","Submerged Wood","2020-02-25","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0
"Antocha","Relic Channel","Winter20","2","Submerged Wood","2020-02-25","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0
"Antocha","Relic Channel","Winter20","3","Submerged Wood","2020-02-25","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",0.610647798
"Arctopsyche","Disturbed","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Summer19","1","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",0
"Arctopsyche","Disturbed","Summer19","2","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",0
"Arctopsyche","Disturbed","Summer19","3","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",0.887425355
"Arctopsyche","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctopsyche","Relic Channel","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Summer19","1","Submerged Wood","2019-07-10","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0
"Atractides","Disturbed","Summer19","2","Submerged Wood","2019-07-10","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0
"Atractides","Disturbed","Summer19","3","Submerged Wood","2019-07-10","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.17702
"Atractides","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Relic Channel","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Relic Channel","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Relic Channel","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atractides","Relic Channel","Spring20","1","Submerged Wood","2020-05-07","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.114224152
"Atractides","Relic Channel","Spring20","2","Submerged Wood","2020-05-07","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.047135138
"Atractides","Relic Channel","Spring20","3","Submerged Wood","2020-05-07","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0
