Taxon,Stage,Insect?,Higher classification,Origin,Order,Family,Common name,BCG Attribute,Feeding Group,CA feeding group,Habit,Tolerance,WY HBI,PSSB tolerance,CA tolerance,Metals tolerance,BCI TV,PSSB long-lived,Voltinism,Development,Occurrence in drift,Size at maturity,Rheophily,Thermal preference,a,b
Ochrotrichia,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,3,PH,PH,CL,0,4,0,4,3,108,0,3,2,1,1,2,2,0.0056,2.839
Ochrotrichia,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,3,PH,PH,CL,0,4,0,4,3,108,0,3,2,1,1,2,2,0.01,2.9
Orthotrichia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,3,PH,PH,CL,0,6,0,4,11,108,0,3,2,1,1,2,2,0.0056,2.839
Oxyethira,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,5,PH,PH,CM,HT,3,0,3,2,108,0,3,2,1,1,2,3,0.0056,2.839
Oxyethira,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,5,PH,PH,CM,HT,3,0,3,2,108,0,3,2,1,1,2,3,0.0056,2.839
Oxyethira,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,5,PH,PH,CM,HT,3,0,3,2,108,0,3,2,1,1,2,3,0.0056,2.839
Palaeagapetus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,1,MH,PH,SP,HI,0,0,4,11,108,0,2,2,1,1,2,1,0.0056,2.839
Palaeagapetus nearcticus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,1,MH,PH,SP,HI,0,0,4,11,108,0,2,2,1,1,2,1,0.0056,2.839
Stactobiella,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,1,SH,MH,CL,0,6,0,4,11,108,0,3,2,1,1,2,2,0.0056,2.839
Stactobiella,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,1,SH,MH,CL,0,6,0,4,11,108,0,3,2,1,1,2,2,0.01,2.9
Zumatrichia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Hydroptilidae,caddisflies,0,SC,SC,CL,0,7,0,4,1,108,0,3,2,1,1,2,3,0.0056,2.839
Lepidostoma,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,4,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,2,2,0.0079,2.649
Lepidostoma,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,4,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,2,2,0.0079,2.649
Lepidostoma,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,4,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,2,2,0.01,2.9
Lepidostoma cascadense,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,2,SH,SH,CM,MI,1,0,1,1,18,0,2,2,1,2,2,1,0.0079,2.649
Lepidostoma cascadense,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,2,SH,SH,CM,MI,1,0,1,1,18,0,2,2,1,2,2,1,0.0079,2.649
Lepidostoma cinereum,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,SH,SH,CM,MT,1,0,1,1,18,0,2,2,1,2,1,1,0.0079,2.649
Lepidostoma cinereum,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,SH,SH,CM,MT,1,0,1,1,18,0,2,2,1,2,1,1,0.0079,2.649
Lepidostoma hoodi group,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,1,SH,SH,CM,HI,1,0,1,1,18,0,1,2,1,2,2,1,0.0079,2.649
Lepidostoma mexicanum group,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,1,SH,SH,CM,0,1,0,1,1,18,0,2,1,1,2,2,2,0.0079,2.649
Lepidostoma mexicanum group,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,1,SH,SH,CM,0,1,0,1,1,18,0,2,1,1,2,2,2,0.0079,2.649
Lepidostoma (Neodinarthrum),P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,CG,SH,CM,0,1,0,1,1,18,0,2,1,1,2,2,2,0.0079,2.649
Lepidostoma (Neodinarthrum),L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,CG,SH,CM,0,1,0,1,1,18,0,2,1,1,2,2,2,0.0079,2.649
Lepidostoma (Neodinarthrum),A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,CG,SH,CM,0,1,0,1,1,18,0,2,1,1,2,2,2,0.01,2.9
Lepidostoma pluviale,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,CG,SH,CM,0,1,0,1,1,18,0,2,1,1,2,2,2,0.0079,2.649
Lepidostoma pluviale,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,CG,SH,CM,0,1,0,1,1,18,0,2,1,1,2,2,2,0.0079,2.649
Lepidostoma-panel case larvae,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,4,SH,SH,CM,0,1,0,1,1,18,0,2,1,1,2,1,2,0.0079,2.649
Lepidostoma-panel case larvae,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,4,SH,SH,CM,0,1,0,1,1,18,0,2,1,1,2,1,2,0.0079,2.649
Lepidostoma-turret case larvae,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,1,1,0.0079,2.649
Lepidostoma-turret case larvae,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,1,1,0.0079,2.649
Lepidostoma unicolor group,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,1,1,0.0079,2.649
Lepidostoma unicolor group,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,1,1,0.0079,2.649
Lepidostoma unicolor group,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Lepidostomatidae,caddisflies,3,SH,SH,CM,0,1,0,1,1,18,0,2,2,1,2,1,1,0.0079,2.649
Leptoceridae,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,CG,OM,CM,MT,4,0,4,11,18,0,2,2,1,2,2,2,0.0034,3.212
Leptoceridae,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,CG,OM,CM,MT,4,0,4,11,18,0,2,2,1,2,2,2,0.0034,3.212
Ceraclea,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,CG,OM,CM,0,4,0,4,1,18,0,2,2,1,2,2,2,0.0034,3.212
Mystacides,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,3,CG,OM,SP,0,4,0,4,11,54,0,2,2,1,2,3,2,0.0034,3.212
Mystacides,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,3,CG,OM,SP,0,4,0,4,11,54,0,2,2,1,2,3,2,0.0034,3.212
Mystacides,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,3,CG,OM,SP,0,4,0,4,11,54,0,2,2,1,2,3,2,0.0034,3.212
Mystacides alafimbriata,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,3,CG,OM,SP,0,4,0,4,11,54,0,2,2,1,2,3,2,0.0034,3.212
Mystacides alafimbriata,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,3,CG,OM,SP,0,4,0,4,11,54,0,2,2,1,2,3,2,0.0034,3.212
Mystacides longicornis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,3,CG,OM,SP,0,4,0,4,11,54,0,2,2,1,2,3,2,0.0034,3.212
Mystacides longicornis,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,3,CG,OM,SP,0,4,0,4,11,54,0,2,2,1,2,3,2,0.0034,3.212
Nectopsyche,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,SH,OM,CM,MT,3,0,3,3,54,0,2,2,1,2,3,2,0.0034,3.212
Nectopsyche,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,SH,OM,CM,MT,3,0,3,3,54,0,2,2,1,2,3,2,0.0034,3.212
Oecetis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,PR,PR,CM,MT,8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
Oecetis,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,PR,PR,CM,MT,8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
Oecetis avara group,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,PR,PR,CM,MT,8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
Oecetis avara group,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,PR,PR,CM,MT,8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
Oecetis avara,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,PR,PR,CM,MT,8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
Oecetis avara,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,PR,PR,CM,MT,8,0,8,3,54,0,2,2,1,2,2,2,0.01,2.9
Oecetis disjuncta,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,4,PR,PR,CM,MT,8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
Triaenodes,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,0,MH,SH,CM,MT,6,0,6,1,54,0,2,2,1,2,3,2,0.0034,3.212
Ylodes,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Leptoceridae,caddisflies,0,MH,SH,CM,MT,6,0,6,11,54,0,2,2,1,2,3,2,0.0034,3.212
Limnephiloidea,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,108,0,2,2,1,2,2,2,0.004,2.933
Limnephilidae,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,108,0,2,2,1,2,2,2,0.004,2.933
Limnephilidae,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,108,0,2,2,1,2,2,2,0.004,2.933
Limnephilidae,PE,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,108,0,2,2,1,2,2,2,0.004,2.933
Limnephilidae,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,108,0,2,2,1,1,2,2,0.01,2.9
Allocosmoecus partitus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SC,SC,CL,MI,1,0,0,11,18,0,2,2,1,3,2,1,0.004,2.933
Allocosmoecus partitus,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SC,SC,CL,MI,1,0,0,11,18,0,2,2,1,3,2,1,0.004,2.933
Amphicosmoecus canax,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,SH,SH,SP,0,11,0,1,11,18,0,2,2,1,3,2,1,0.004,2.933
Anabolia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,11,0,4,11,110,0,2,2,1,3,2,1,0.004,2.933
Arctopora,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,110,0,2,2,1,3,2,1,0.004,2.933
Asynarchus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,108,0,2,2,1,3,2,1,0.004,2.933
Chyranda centralis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SH,SH,SP,HI,1,0,1,11,18,0,1,2,1,2,1,1,0.004,2.933
Chyranda centralis,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SH,SH,SP,HI,1,0,1,11,18,0,1,2,1,2,1,1,0.004,2.933
Clistoronia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,0,6,0,3,11,108,0,2,2,1,3,1,2,0.004,2.933
Clistoronia,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,0,6,0,3,11,108,0,2,2,1,3,1,2,0.004,2.933
Clistoronia magnifica,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,0,6,0,3,11,108,0,2,2,1,3,1,2,0.004,2.933
Clistoronia magnifica,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,0,6,0,3,11,108,0,2,2,1,3,1,2,0.004,2.933
Clostoeca disjuncta,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,0,1,0,4,11,110,0,2,1,1,2,1,2,0.004,2.933
Cryptochia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,SH,SH,SP,HI,1,0,0,11,110,0,1,2,1,2,1,1,0.004,2.933
Desmona,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,MH,SH,CM,HI,0,0,1,11,110,0,2,2,1,2,1,1,0.004,2.933
Desmona bethula,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,MH,SH,CM,HI,0,0,1,11,110,0,2,2,1,2,1,1,0.004,2.933
Desmona mono,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,MH,SH,CM,HI,0,0,1,11,110,0,2,2,1,2,1,1,0.004,2.933
Desmona mono,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,MH,SH,CM,HI,0,0,1,11,110,0,2,2,1,2,1,1,0.004,2.933
Dicosmoecinae,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,CM,0,4,0,4,11,108,0,2,2,1,2,2,2,0.004,2.933
Dicosmoecus atripes,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,PR,OM,SP,MI,2,0,1,1,24,0,1,2,1,3,2,1,0.004,2.933
Dicosmoecus atripes,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,PR,OM,SP,MI,2,0,1,1,24,0,1,2,1,3,2,1,0.004,2.933
Dicosmoecus atripes,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,PR,OM,SP,MI,2,0,1,1,24,0,1,2,1,3,2,1,0.01,2.9
Dicosmoecus gilvipes,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SC,SC,CL,0,2,0,2,1,24,0,2,2,1,3,2,2,0.004,2.933
Dicosmoecus gilvipes,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SC,SC,CL,0,2,0,2,1,24,0,2,2,1,3,2,2,0.004,2.933
Dicosmoecus gilvipes,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SC,SC,CL,0,2,0,2,1,24,0,2,2,1,3,2,2,0.01,2.9
Dicosmoecus pallicornis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SC,OM,CL,MI,2,0,1,1,24,0,1,2,1,3,2,1,0.004,2.933
Ecclisocosmoecus scylla,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SH,SH,SP,HI,0,0,4,11,110,0,1,2,1,2,1,1,0.004,2.933
Ecclisocosmoecus scylla,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SH,SH,SP,HI,0,0,4,11,110,0,1,2,1,2,1,1,0.004,2.933
Ecclisomyia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,OM,OM,CL,MI,2,0,2,2,24,0,1,2,1,2,2,1,0.004,2.933
Ecclisomyia,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,OM,OM,CL,MI,2,0,2,2,24,0,1,2,1,2,2,1,0.004,2.933
Ecclisomyia,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,OM,OM,CL,MI,2,0,2,2,24,0,1,2,1,2,2,1,0.01,2.9
Ecclisomyia conspersa,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,OM,OM,CL,MI,2,0,2,2,24,0,1,2,1,2,2,1,0.004,2.933
Ecclisomyia conspersa,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,OM,OM,CL,MI,2,0,2,2,24,0,1,2,1,2,2,1,0.004,2.933
Ecclisomyia conspersa,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,OM,OM,CL,MI,2,0,2,2,24,0,1,2,1,2,2,1,0.01,2.9
Eocosmoecus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,MH,MH,CM,HI,0,0,4,11,110,0,1,2,1,3,2,1,0.004,2.933
Halesochila taylori,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,CG,CG,SP,0,0,0,4,11,110,0,2,2,1,2,1,1,0.004,2.933
Hesperophylax,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,OM,SP,MT,3,0,3,11,108,0,2,2,1,3,2,2,0.004,2.933
Hesperophylax,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,OM,SP,MT,3,0,3,11,108,0,2,2,1,3,2,2,0.004,2.933
Homophylax,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,SH,SH,SP,HI,0,0,0,11,18,0,1,2,1,2,1,1,0.004,2.933
Hydatophylax hesperus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,MI,1,0,1,11,110,0,2,2,1,3,1,2,0.004,2.933
Hydatophylax hesperus,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,MI,1,0,1,11,110,0,2,2,1,3,1,2,0.004,2.933
Lenarchus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,CG,SH,SP,0,6,0,3,11,18,0,2,2,1,3,1,1,0.004,2.933
Limnephilus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,MT,3,0,3,11,108,0,2,2,1,2,1,2,0.004,2.933
Limnephilus,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,MT,3,0,3,11,108,0,2,2,1,2,1,2,0.004,2.933
Limnephilus,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,MT,3,0,3,11,108,0,2,2,1,2,1,2,0.01,2.9
Nemotaulius hostilis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,MT,3,0,3,11,108,0,2,2,1,2,1,2,0.004,2.933
Onocosmoecus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,4,SH,SH,SP,0,1,0,1,2,18,0,2,2,1,3,2,2,0.004,2.933
Onocosmoecus,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,4,SH,SH,SP,0,1,0,1,2,18,0,2,2,1,3,2,2,0.004,2.933
Onocosmoecus unicolor,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,4,SH,OM,SP,0,1,0,1,2,18,0,2,2,1,3,2,2,0.004,2.933
Onocosmoecus unicolor,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,4,SH,OM,SP,0,1,0,1,2,18,0,2,2,1,3,2,2,0.004,2.933
Onocosmoecus unicolor,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,4,SH,OM,SP,0,1,0,1,2,18,0,2,2,1,3,2,2,0.01,2.9
Philocasca,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,1,SH,SH,CM,HI,0,0,1,11,110,0,1,2,1,2,1,1,0.004,2.933
Pseudostenophylax edwardsi,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,2,SH,SH,SP,MI,0,0,1,11,110,0,2,2,1,2,1,2,0.004,2.933
Psychoglypha,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,MI,1,0,2,2,24,0,2,2,1,3,2,2,0.004,2.933
Psychoglypha,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,MI,1,0,2,2,24,0,2,2,1,3,2,2,0.004,2.933
Psychoglypha bella,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,0,3,0,2,2,24,0,2,2,1,3,2,2,0.004,2.933
Psychoglypha bella,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,0,3,0,2,2,24,0,2,2,1,3,2,2,0.004,2.933
Psychoglypha subborealis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,0,2,0,2,2,24,0,2,2,1,3,2,1,0.004,2.933
Psychoglypha subborealis,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,0,2,0,2,2,24,0,2,2,1,3,2,1,0.004,2.933
Psychoglypha subborealis group,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,0,2,0,2,2,24,0,2,2,1,3,2,1,0.004,2.933
Psychoglypha subborealis group,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,3,SH,SH,SP,0,2,0,2,2,24,0,2,2,1,3,2,1,0.004,2.933
Pycnopsyche,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Limnephilidae,caddisflies,0,SH,SH,SP,0,11,0,4,11,72,0,2,2,1,3,2,2,0.004,2.933
Molanna,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Molannidae,caddisflies,0,CG,SC,SP,0,6,0,4,11,110,0,2,2,1,2,1,1,0.0056,2.839
Molanna flavicornis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Molannidae,caddisflies,0,CG,SC,SP,0,6,0,4,11,110,0,2,2,1,2,1,1,0.0056,2.839
Molannodes,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Molannidae,caddisflies,0,CG,CG,SP,0,6,0,4,11,110,0,2,2,1,2,1,1,0.0056,2.839
Marilia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Odontoceridae,caddisflies,0,SH,SH,SP,0,3,0,0,11,110,0,2,2,1,2,1,3,0.0077,2.988
Nanamyia plutonis,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Odontoceridae,caddisflies,0,PR,SH,SP,HI,0,0,0,11,110,0,1,2,1,3,1,1,0.0077,2.988
Nerophilus californicus,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Odontoceridae,caddisflies,2,PR,SH,SP,MI,0,0,0,11,110,0,2,2,1,2,1,2,0.0077,2.988
Parthina,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Odontoceridae,caddisflies,3,SH,SH,SP,0,0,0,0,11,110,0,1,2,1,1,1,1,0.0077,2.988
Chimarra,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,4,CF,CF,CL,0,4,0,4,11,24,0,3,2,1,2,3,2,0.005,2.511
Chimarra,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,4,CF,CF,CL,0,4,0,4,11,24,0,3,2,1,2,3,2,0.005,2.511
Dolophilodes,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,2,CF,CF,CL,MI,2,0,2,11,24,0,2,2,1,2,3,1,0.005,2.511
Dolophilodes,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,2,CF,CF,CL,MI,2,0,2,11,24,0,2,2,1,2,3,1,0.005,2.511
Dolophilodes,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,2,CF,CF,CL,MI,2,0,2,11,24,0,2,2,1,2,3,1,0.01,2.9
Wormaldia,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,3,CF,CF,CL,0,3,0,3,1,24,0,3,3,1,1,3,2,0.005,2.511
Wormaldia,P,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,3,CF,CF,CL,0,3,0,3,1,24,0,3,3,1,1,3,2,0.005,2.511
Wormaldia,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,3,CF,CF,CL,0,3,0,3,1,24,0,3,3,1,1,3,2,0.01,2.9
Wormaldia gabriella,A,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Philopotamidae,caddisflies,3,CF,CF,CL,0,3,0,3,1,24,0,3,3,1,1,3,2,0.01,2.9
Phryganeidae,L,insect,Arthropoda: Insecta,Aquatic,Trichoptera,Phryagaeidae,caddisflies,4,PR,SH,CM,0,4,0,4,11,110,0,2,2,1,3,2,2,0.0054,2.811
