"Treatment","Substrate","Date","Replicate","Taxon","Stage","Insect","Origin","Higher.classification","Order","Family","Common.name","Biomass","Season"
"Flooded Forest","Benthic",2019-07-09,1,"Paracladopelma","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",5.946350033,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Phaenopsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",454.5786023,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Polypedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",64.23155348,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Micropsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",48.55711144,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Paratanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",5.490447644,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Stempellinella","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",0.235089958,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Brillia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",12.93413623,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Corynoneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",2.994677105,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Heterotrissocladius marcidus group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.442213567,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Krenosmittia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",4.825753553,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Nanocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.442213567,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Parametriocnemus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",37.72522896,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Psectrocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",18.78407221,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Rheocricotopus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",8.065172214,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Smittia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",5.490447644,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Tvetenia bavarica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",29.04302074,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Macropelopia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",26.48834471,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Paramerina","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",4.880878538,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Thienemannimyia complex","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",92.1296506,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Trombidiformes","U","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites",0.250634748,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Lebertia","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",4.23576,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Torrenticola","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.250634748,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Forcipomyiinae","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Ceratopogonidae","no-see-um midges",1.468176373,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Ampumixis dispar","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",10.66833526,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Cleptelmis addenda","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",10.66833526,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Nemata","U","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms",32.90797585,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Ostracoda","U","non-insect","Aquatic","Crustacea: Ostracoda","x","x","seed shrimp",8.63519616,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Oligochaeta","U","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms",85.14808222,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Malenka","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",188.5251925,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Hesperoperla pacifica","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies",1084.173923,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Chydoridae","U","non-insect","Aquatic","Crustacea: Cladocera","x","Chydoridae","water fleas",0.03729863,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Simulium","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",2.87952256,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Arctopsyche","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",0.783389611,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Hydropsyche","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",10.58186314,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Allocosmoecus partitus","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",35.75275808,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Dicosmoecus gilvipes","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",80.60055261,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Onocosmoecus unicolor","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",332.1431226,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",2.330582944,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Rhyacophila narvae","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",4.912106914,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Chelifera/Metachela","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",13.3952906,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Clinocera","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",5.301108395,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Empididae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",1.89578423,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Muscidae","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Muscidae","higher flies",1.271917973,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Anafroptilum/Procloeon","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",6.486547102,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Baetis alius","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",82.08338701,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Baetis tricaudatus complex","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",13.72252789,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Attenella delantala","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",11.02831339,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Attenella margarita","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",17.25469617,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ephemerella tibialis","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",90.3394838,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Matriella teresa","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",21.80697962,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Serratella micheneri","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",14.63304318,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Timpanoga hecuba","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",7.147996354,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Epeorus albertae group","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",39.44161096,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Heptagenia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",1.297876014,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies",4.872139091,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Chironomidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges",1.410302902,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Apedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",0.560368905,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Paracladopelma","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",3.100071024,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Phaenopsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",13.37431684,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Polypedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",9.533418641,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Micropsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",4.240173514,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Paratanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",0.65171259,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Stempellinella","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",0.994692,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Tanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",3.634117173,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Potthastia gaedii group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",0.263942517,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Potthastia longimana group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",3.238432496,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Brillia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",3.238432496,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Corynoneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.730749483,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Eukiefferiella claripennis group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.091343685,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Eukiefferiella pseudomontana group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.274031056,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Krenosmittia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.527885035,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Orthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.527885035,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Parametriocnemus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",10.2958396,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Psectrocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.560368905,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Rheocricotopus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",2.641134343,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Synorthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.263942517,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Tvetenia bavarica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.537973573,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Pentaneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",2.423843646,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Thienemannimyia complex","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",44.26786139,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Trombidiformes","U","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites",0.363964688,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Atractides","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.309096,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Oribatida","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.054868688,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Torrenticola","U","non-insect","Aquatic","Arachnida: Acari","x","x","mites",0.927288,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ceratopogonidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Ceratopogonidae","no-see-um midges",0.446934255,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ampumixis dispar","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",4.578689959,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Nemata","U","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms",8.026656174,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ostracoda","U","non-insect","Aquatic","Crustacea: Ostracoda","x","x","seed shrimp",0.283849848,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Oligochaeta","U","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms",11.79823438,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Capniidae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Capniidae","stoneflies",3.439996993,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Chloroperlidae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Chloroperlidae","stoneflies",3.03896126,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Leuctridae","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Leuctridae","stoneflies",0.707907744,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Malenka","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",78.26140716,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Zapada cinctipes","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",0.232829479,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Hesperoperla pacifica","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies",55.42094734,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Skwala","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies",23.3499063,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Simulium","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",35.38283723,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus americanus","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",57.14700013,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus occidentalis","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",0.87895984,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Micrasema","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",4.609846744,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus americanus","P","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies",11.57861144,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Hydropsyche","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",13.95958642,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ochrotrichia","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies",0.583356012,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",1.573717641,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Dicranomyia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies",2.747622892,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Clinocera","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",1.081548518,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Baetis alius","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",1.610464313,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Baetis tricaudatus complex","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",78.38040715,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Caudatella heterocaudata","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",5.972939899,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Drunella grandis/spinifera","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",29.33683472,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ephemerella tibialis","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",1.976517191,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Matriella teresa","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",1.976517191,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Epeorus longimanus","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies",7.658154038,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Chironomidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges",0.385983129,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Polypedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",1.101574929,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Micropsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",0.793816353,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Paratanytarsus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",0.065649961,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Boreoheptagyia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",0.094849556,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Pagastia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges",0.361088353,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brillia","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.562460766,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Corynoneura","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.065649961,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Cricotopus (Nostococladius)","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.015461079,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella claripennis group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.32462442,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella devonica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.671197663,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella pseudomontana group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",0.065649961,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Orthocladius","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",17.6717171,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Parametriocnemus","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",1.44435341,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Tvetenia bavarica group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges",3.027869659,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Thienemannimyia complex","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",0.722176705,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ampumixis dispar","A","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",3.183821176,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ampumixis dispar","L","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles",8.037882562,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Nemata","U","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms",0.589755863,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Oligochaeta","U","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms",1.864499535,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Malenka","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies",2.145807473,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Yoraperla","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Peltoperlidae","stoneflies",0.620507734,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Hesperoperla pacifica","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies",0.411567387,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Skwala","L","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies",0.389777524,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Simulium","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",293.84803,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Simulium","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",2.623513667,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Hydropsyche","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",614.5561986,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Lepidostoma","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Lepidostomatidae","caddisflies",0.1896,"Summer19"
