"Treatment","Substrate","Date","Replicate","Taxon","Stage","Insect","Origin","Order","Family","Biomass","Season"
"Disturbed","Submerged Wood",2019-07-10,1,"Paratanytarsus","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",0.065649961,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Boreoheptagyia","L","insect","Aquatic","Diptera","Chironomidae: Diamesinae",0.094849556,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Pagastia","L","insect","Aquatic","Diptera","Chironomidae: Diamesinae",0.361088353,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brillia","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.562460766,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Corynoneura","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.065649961,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Cricotopus (Nostococladius)","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.015461079,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella claripennis group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.32462442,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella devonica group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.671197663,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella pseudomontana group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.065649961,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Orthocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",17.6717171,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Parametriocnemus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",1.44435341,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Tvetenia bavarica group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",3.027869659,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Thienemannimyia complex","L","insect","Aquatic","Diptera","Chironomidae: Tanypodinae",0.722176705,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ampumixis dispar","A","insect","Aquatic","Coleoptera","Elmidae",3.183821176,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ampumixis dispar","L","insect","Aquatic","Coleoptera","Elmidae",8.037882562,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Nemata","U","non-insect","Aquatic","miscellaneous non-insect","x",0.589755863,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Oligochaeta","U","non-insect","Aquatic","miscellaneous non-insect","x",1.864499535,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Malenka","L","insect","Aquatic","Plecoptera","Nemouridae",2.145807473,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Yoraperla","L","insect","Aquatic","Plecoptera","Peltoperlidae",0.620507734,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Hesperoperla pacifica","L","insect","Aquatic","Plecoptera","Perlidae",0.411567387,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Skwala","L","insect","Aquatic","Plecoptera","Perlodidae",0.389777524,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Simulium","L","insect","Aquatic","Diptera","Simuliidae",293.84803,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Simulium","P","insect","Aquatic","Diptera","Simuliidae",2.623513667,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae",614.5561986,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae",0.1896,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Lepidostoma unicolor group","L","insect","Aquatic","Trichoptera","Lepidostomatidae",84.4964247,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae",177.3067189,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae",39.4464327,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rhyacophila betteni group","L","insect","Aquatic","Trichoptera","Rhyacophilidae",165.2890048,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae",0.649460524,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Clinocera","L","insect","Aquatic","Diptera","Empididae",7.396283807,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Tabanidae","L","insect","Aquatic","Diptera","Tabanidae",4.662166128,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae",21.96200349,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae",145.6042778,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae",143.7896635,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Attenella margarita","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",34.33020925,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",261.5401089,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Serratella micheneri","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",8.648825733,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Ephemeroptera","Leptophlebiidae",20.49153601,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Chironomidae","P","insect","Aquatic","Diptera","Chironomidae",7.240451838,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Microtendipes pedellus group","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",0.37147021,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Polypedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",8.73168365,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Micropsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",12.13574186,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rheotanytarsus","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",0.742940419,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Pagastia","L","insect","Aquatic","Diptera","Chironomidae: Diamesinae",49.2293785,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Potthastia longimana group","L","insect","Aquatic","Diptera","Chironomidae: Diamesinae",2.278869676,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Brillia","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",9.535296859,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Corynoneura","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",1.114410629,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Cricotopus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",4.086325837,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Eukiefferiella claripennis group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",12.45540679,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Nanocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",1.444853464,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Orthocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",2.278869676,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Parametriocnemus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",21.97642595,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rheocricotopus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",3.352252931,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Synorthocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",2.278869676,"Summer19"
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Thienemanniella","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",2.14676651,"Summer19"
