"Treatment","Substrate","Date","Replicate","Taxon","Insect","Origin","Higher.classification","Order","Family","Common.name","Season","Biomass"
"Flooded Forest","Benthic",2019-07-09,1,"Psectrocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",18.78407221
"Flooded Forest","Benthic",2019-07-09,1,"Rheocricotopus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",8.065172214
"Flooded Forest","Benthic",2019-07-09,1,"Smittia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",5.490447644
"Flooded Forest","Benthic",2019-07-09,1,"Tvetenia bavarica group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",29.04302074
"Flooded Forest","Benthic",2019-07-09,1,"Macropelopia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",26.48834471
"Flooded Forest","Benthic",2019-07-09,1,"Paramerina","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",4.880878538
"Flooded Forest","Benthic",2019-07-09,1,"Thienemannimyia complex","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",92.1296506
"Flooded Forest","Benthic",2019-07-09,1,"Trombidiformes","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites","Summer19",0.250634748
"Flooded Forest","Benthic",2019-07-09,1,"Lebertia","non-insect","Aquatic","Arachnida: Acari","x","x","mites","Summer19",4.23576
"Flooded Forest","Benthic",2019-07-09,1,"Torrenticola","non-insect","Aquatic","Arachnida: Acari","x","x","mites","Summer19",0.250634748
"Flooded Forest","Benthic",2019-07-09,1,"Forcipomyiinae","insect","Aquatic","Arthropoda: Insecta","Diptera","Ceratopogonidae","no-see-um midges","Summer19",1.468176373
"Flooded Forest","Benthic",2019-07-09,1,"Ampumixis dispar","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles","Summer19",10.66833526
"Flooded Forest","Benthic",2019-07-09,1,"Cleptelmis addenda","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles","Summer19",10.66833526
"Flooded Forest","Benthic",2019-07-09,1,"Nemata","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms","Summer19",32.90797585
"Flooded Forest","Benthic",2019-07-09,1,"Ostracoda","non-insect","Aquatic","Crustacea: Ostracoda","x","x","seed shrimp","Summer19",8.63519616
"Flooded Forest","Benthic",2019-07-09,1,"Oligochaeta","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms","Summer19",85.14808222
"Flooded Forest","Benthic",2019-07-09,1,"Malenka","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies","Summer19",188.5251925
"Flooded Forest","Benthic",2019-07-09,1,"Hesperoperla pacifica","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies","Summer19",1084.173923
"Flooded Forest","Benthic",2019-07-09,1,"Chydoridae","non-insect","Aquatic","Crustacea: Cladocera","x","Chydoridae","water fleas","Summer19",0.03729863
"Disturbed","Benthic",2019-07-10,1,"Simulium","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies","Summer19",2.87952256
"Disturbed","Benthic",2019-07-10,1,"Arctopsyche","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies","Summer19",0.783389611
"Disturbed","Benthic",2019-07-10,1,"Hydropsyche","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies","Summer19",10.58186314
"Disturbed","Benthic",2019-07-10,1,"Allocosmoecus partitus","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies","Summer19",35.75275808
"Disturbed","Benthic",2019-07-10,1,"Dicosmoecus gilvipes","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies","Summer19",80.60055261
"Disturbed","Benthic",2019-07-10,1,"Onocosmoecus unicolor","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies","Summer19",332.1431226
"Disturbed","Benthic",2019-07-10,1,"Rhyacophila brunnea/vemna group","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies","Summer19",2.330582944
"Disturbed","Benthic",2019-07-10,1,"Rhyacophila narvae","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies","Summer19",4.912106914
"Disturbed","Benthic",2019-07-10,1,"Chelifera/Metachela","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies","Summer19",13.3952906
"Disturbed","Benthic",2019-07-10,1,"Clinocera","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies","Summer19",5.301108395
"Disturbed","Benthic",2019-07-10,1,"Empididae","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies","Summer19",1.89578423
"Disturbed","Benthic",2019-07-10,1,"Muscidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Muscidae","higher flies","Summer19",1.271917973
"Disturbed","Benthic",2019-07-10,1,"Anafroptilum/Procloeon","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",6.486547102
"Disturbed","Benthic",2019-07-10,1,"Baetis alius","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",82.08338701
"Disturbed","Benthic",2019-07-10,1,"Baetis tricaudatus complex","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",13.72252789
"Disturbed","Benthic",2019-07-10,1,"Attenella delantala","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",11.02831339
"Disturbed","Benthic",2019-07-10,1,"Attenella margarita","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",17.25469617
"Disturbed","Benthic",2019-07-10,1,"Ephemerella tibialis","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",90.3394838
"Disturbed","Benthic",2019-07-10,1,"Matriella teresa","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",21.80697962
"Disturbed","Benthic",2019-07-10,1,"Serratella micheneri","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",14.63304318
"Disturbed","Benthic",2019-07-10,1,"Timpanoga hecuba","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",7.147996354
"Disturbed","Benthic",2019-07-10,1,"Epeorus albertae group","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies","Summer19",39.44161096
"Disturbed","Benthic",2019-07-10,1,"Heptagenia","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies","Summer19",1.297876014
"Disturbed","Benthic",2019-07-10,1,"Neoleptophlebia/Paraleptophlebia","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies","Summer19",4.872139091
"Disturbed","Benthic",2019-07-10,1,"Chironomidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges","Summer19",1.410302902
"Disturbed","Benthic",2019-07-10,1,"Apedilum","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",0.560368905
"Disturbed","Benthic",2019-07-10,1,"Paracladopelma","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",3.100071024
"Disturbed","Benthic",2019-07-10,1,"Phaenopsectra","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",13.37431684
"Disturbed","Benthic",2019-07-10,1,"Polypedilum","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",9.533418641
"Disturbed","Benthic",2019-07-10,1,"Micropsectra","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",4.240173514
"Disturbed","Benthic",2019-07-10,1,"Paratanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.65171259
"Disturbed","Benthic",2019-07-10,1,"Stempellinella","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.994692
"Disturbed","Benthic",2019-07-10,1,"Tanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",3.634117173
"Disturbed","Benthic",2019-07-10,1,"Potthastia gaedii group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",0.263942517
"Disturbed","Benthic",2019-07-10,1,"Potthastia longimana group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",3.238432496
"Disturbed","Benthic",2019-07-10,1,"Brillia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",3.238432496
"Disturbed","Benthic",2019-07-10,1,"Corynoneura","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.730749483
"Disturbed","Benthic",2019-07-10,1,"Eukiefferiella claripennis group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.091343685
"Disturbed","Benthic",2019-07-10,1,"Eukiefferiella pseudomontana group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.274031056
"Disturbed","Benthic",2019-07-10,1,"Krenosmittia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.527885035
"Disturbed","Benthic",2019-07-10,1,"Orthocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.527885035
"Disturbed","Benthic",2019-07-10,1,"Parametriocnemus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",10.2958396
"Disturbed","Benthic",2019-07-10,1,"Psectrocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.560368905
"Disturbed","Benthic",2019-07-10,1,"Rheocricotopus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",2.641134343
"Disturbed","Benthic",2019-07-10,1,"Synorthocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.263942517
"Disturbed","Benthic",2019-07-10,1,"Tvetenia bavarica group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.537973573
"Disturbed","Benthic",2019-07-10,1,"Pentaneura","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",2.423843646
"Disturbed","Benthic",2019-07-10,1,"Thienemannimyia complex","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",44.26786139
"Disturbed","Benthic",2019-07-10,1,"Trombidiformes","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites","Summer19",0.363964688
"Disturbed","Benthic",2019-07-10,1,"Atractides","non-insect","Aquatic","Arachnida: Acari","x","x","mites","Summer19",0.309096
"Disturbed","Benthic",2019-07-10,1,"Oribatida","non-insect","Aquatic","Arachnida: Acari","x","x","mites","Summer19",0.054868688
"Disturbed","Benthic",2019-07-10,1,"Torrenticola","non-insect","Aquatic","Arachnida: Acari","x","x","mites","Summer19",0.927288
"Disturbed","Benthic",2019-07-10,1,"Ceratopogonidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Ceratopogonidae","no-see-um midges","Summer19",0.446934255
"Disturbed","Benthic",2019-07-10,1,"Ampumixis dispar","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles","Summer19",4.578689959
"Disturbed","Benthic",2019-07-10,1,"Nemata","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms","Summer19",8.026656174
"Disturbed","Benthic",2019-07-10,1,"Ostracoda","non-insect","Aquatic","Crustacea: Ostracoda","x","x","seed shrimp","Summer19",0.283849848
"Disturbed","Benthic",2019-07-10,1,"Oligochaeta","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms","Summer19",11.79823438
"Disturbed","Benthic",2019-07-10,1,"Capniidae","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Capniidae","stoneflies","Summer19",3.439996993
"Disturbed","Benthic",2019-07-10,1,"Chloroperlidae","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Chloroperlidae","stoneflies","Summer19",3.03896126
"Disturbed","Benthic",2019-07-10,1,"Leuctridae","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Leuctridae","stoneflies","Summer19",0.707907744
"Disturbed","Benthic",2019-07-10,1,"Malenka","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies","Summer19",78.26140716
"Disturbed","Benthic",2019-07-10,1,"Zapada cinctipes","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies","Summer19",0.232829479
"Disturbed","Benthic",2019-07-10,1,"Hesperoperla pacifica","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies","Summer19",55.42094734
"Disturbed","Benthic",2019-07-10,1,"Skwala","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies","Summer19",23.3499063
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Simulium","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies","Summer19",296.471543667
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Hydropsyche","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies","Summer19",614.5561986
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Lepidostoma","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Lepidostomatidae","caddisflies","Summer19",0.1896
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Lepidostoma unicolor group","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Lepidostomatidae","caddisflies","Summer19",84.4964247
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Dicosmoecus gilvipes","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies","Summer19",177.3067189
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Onocosmoecus unicolor","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies","Summer19",39.4464327
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rhyacophila betteni group","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies","Summer19",165.2890048
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rhyacophila brunnea/vemna group","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies","Summer19",0.649460524
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Clinocera","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies","Summer19",7.396283807
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Tabanidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Tabanidae","horse & deer flies","Summer19",4.662166128
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Anafroptilum/Procloeon","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",21.96200349
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Baetis alius","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",145.6042778
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Baetis tricaudatus complex","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",143.7896635
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Attenella margarita","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",34.33020925
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Ephemerella tibialis","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",261.5401089
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Serratella micheneri","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",8.648825733
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Neoleptophlebia/Paraleptophlebia","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies","Summer19",20.49153601
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Chironomidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges","Summer19",7.240451838
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Microtendipes pedellus group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",0.37147021
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Polypedilum","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",8.73168365
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Micropsectra","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",12.13574186
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rheotanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.742940419
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Pagastia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",49.2293785
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Potthastia longimana group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",2.278869676
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Brillia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",9.535296859
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Corynoneura","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",1.114410629
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Cricotopus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",4.086325837
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Eukiefferiella claripennis group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",12.45540679
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Nanocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",1.444853464
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Orthocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",2.278869676
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Parametriocnemus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",21.97642595
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Rheocricotopus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",3.352252931
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Synorthocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",2.278869676
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Thienemanniella","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",2.14676651
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Tvetenia bavarica group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",63.78239732
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Pentaneura","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",27.92740309
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Thienemannimyia complex","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",57.33900914
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Trombidiformes","non-insect","Aquatic","Arachnida: Acari","Trombidiformes","x","mites","Summer19",0.45159414
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Lebertia","non-insect","Aquatic","Arachnida: Acari","x","x","mites","Summer19",1.272
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Musculium","non-insect","Aquatic","Mollusca: Bivalvia","x","Sphaeriidae","pea clams","Summer19",4.663349126
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Pisidium","non-insect","Aquatic","Mollusca: Bivalvia","x","Sphaeriidae","pea clams","Summer19",3.245975109
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Nemata","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms","Summer19",73.00879984
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Ostracoda","non-insect","Aquatic","Crustacea: Ostracoda","x","x","seed shrimp","Summer19",0.324144
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Oligochaeta","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms","Summer19",78.69192636
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Menetus","non-insect","Aquatic","Mollusca: Gastropoda","x","Planorbidae","snails","Summer19",80.31129884
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Capniidae","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Capniidae","stoneflies","Summer19",0.332317435
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Malenka","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies","Summer19",54.11883198
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Zapada cinctipes","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies","Summer19",1.235619009
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Hesperoperla pacifica","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies","Summer19",5.616665091
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Isoperla","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies","Summer19",1.429912772
"Relic Floodplain Channel","Benthic",2019-07-11,1,"Skwala","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies","Summer19",26.20338478
