Waterbody,Treatment,Substrate,Date,Replicate,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Biomass
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Neoplasta,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,185.287,39.05655644
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Dixa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Dixidae,dixid midges,74.1148,11.26768654
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Muscidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Muscidae,higher flies,37.0574,74.46820204
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2816.3624,190.8794413
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2594.018,44.10737629
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Labiobaetis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,37.0574,52.82112905
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,1111.722,121.7473419
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Cinygma,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,74.1148,17.59989719
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Ironodes,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,74.1148,15.30828455
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,778.2054,499.9802402
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,37.0574,1.182425464
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Phaenopsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,222.3444,66.94003293
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,629.9758,29.51292246
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Cladotanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,74.1148,2.364850929
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,148.2296,10.04149645
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Stempellina,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,148.2296,1.636827604
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,185.287,2.046034505
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Potthastia longimana group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,111.1722,8.84549409
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Brillia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,74.1148,7.663068626
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Corynoneura,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,185.287,2.046034505
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Eukiefferiella claripennis group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,222.3444,6.321334223
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Nanocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,37.0574,1.182425464
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Parametriocnemus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,444.6888,35.43287575
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Thienemanniella,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,37.0574,0.409206901
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Tvetenia bavarica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,185.287,7.240075971
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Macropelopia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,259.4018,69.87778656
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,1222.8942,57.70021664
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Trombidiformes,U,non-insect,Aquatic,Arachnida: Acari,Trombidiformes,x,mites,185.287,8.204812648
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Protzia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,37.0574,1.9640422
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,111.1722,26.70979534
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Ampumixis dispar,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,37.0574,0.881197791
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Cleptelmis addenda,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,74.1148,1.762395582
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Narpus concolor,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,37.0574,2.017307126
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,333.5166,80.74583415
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,481.7462,3.253232089
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,296.4592,76.52887496
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Physella,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,37.0574,101.1154208
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Menetus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,37.0574,73.48051594
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,926.435,739.4798691
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Zapada cinctipes,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,37.0574,6.6035719
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Yoraperla,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Peltoperlidae,stoneflies,667.0332,283.0793412
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,37.0574,63.7980772
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Isoperla,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,111.1722,218.6919909
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Skwala,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,5.56,78.1321195
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,37.0574,0.250248622
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,54.848,7.802890678
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Brachycentrus americanus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,27.424,2.698619477
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,13.712,0.659415747
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,13.712,2.898940679
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,301.664,163.5882077
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,54.848,6.714623603
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Lepidostoma (Neodinarthrum),L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,41.136,5.966825737
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Rhyacophila brunnea/vemna group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,27.424,81.61469527
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,13.712,1.143260581
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Tipuloidea,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,13.712,10.48776766
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,68.56,11.01933879
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Neoplasta,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,68.56,5.369371508
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Empididae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,13.712,2.525453069
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Anafroptilum/Procloeon,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,13.712,0.233151946
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1124.384,167.1107932
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,233.104,2.840234656
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Attenella delantala,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,41.136,2.707793569
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Caudatella hystrix,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,13.712,1.639930686
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,891.28,114.0719149
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Cinygma,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,13.712,1.846933863
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Cinygmula,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,521.056,11.71272306
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Epeorus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,123.408,3.766933703
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Ironodes,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,13.712,4.665390001
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Rhithrogena,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,54.848,19.58111586
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,274.24,15.85606175
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,41.136,4.944305328
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Cryptochironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,27.424,0.875043471
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Cladotanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,82.272,0.908489806
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Stempellina,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,41.136,0.740351671
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,13.712,0.151414968
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Eukiefferiella devonica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,54.848,0.605659871
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,356.512,19.89271943
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Parametriocnemus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,95.984,7.402860574
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Synorthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,13.712,0.928890042
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Tvetenia bavarica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,13.712,0.437521736
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,740.448,34.33168054
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Trombidiformes,U,non-insect,Aquatic,Arachnida: Acari,Trombidiformes,x,mites,82.272,4.360416
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Lebertia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,13.712,0.726736
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Protzia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,13.712,0.726736
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Sperchon,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,13.712,0.726736
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,95.984,28.74093995
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Ampumixis dispar,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,68.56,4.23669459
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Narpus concolor,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,82.272,2.376751631
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Optioservus,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,27.424,2.165508551
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,54.848,12.85278735
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,13.712,0.642886395
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,671.888,105.1609098
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Menetus,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Planorbidae,snails,13.712,7.958689131
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Capniidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Capniidae,stoneflies,27.424,13.97748207
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Sweltsa,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,13.712,11.7408129
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Leuctridae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Leuctridae,stoneflies,13.712,0.463722021
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Zapada cinctipes,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,13.712,1.596238337
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,15.312,177.9064762
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Isoperla,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,41.136,2.450870492
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Perlodidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,54.848,39.29961855
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Skwala,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,2.4,78.94225817
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,109.696,0.740777088
South Fork McKenzie River,Disturbed,Benthic,2019-10-16,1,Hydrophilidae,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Hydrophilidae,water scavenger beetles,13.712,1.519137047
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,3.34,0.516233572
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Brachycentrus americanus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,13.36,0.163446948
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,13.36,1.204852201
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,78.49,20.47837717
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,33.4,0.703409911
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Lepidostoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,1.67,2.285642329
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Lepidostoma unicolor group,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,1.67,3.255584244
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Limnephilidae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,1.67,0.167561061
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Rhyacophila betteni group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,1.67,2.061554427
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Rhyacophila brunnea/vemna group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,6.68,19.53315056
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Neoplasta,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5.01,0.253196037
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Dixa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Dixidae,dixid midges,6.68,1.704040337
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Dixa,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Dixidae,dixid midges,1.67,0.202858625
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,101.87,34.27292893
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,38.41,1.101046013
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Attenella delantala,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,1.67,0.199729014
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Caudatella edmundsi,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,1.67,0.109928415
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Caudatella hystrix,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,3.34,0.399458029
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,188.71,20.93404788
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Cinygma,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1.67,0.12166813
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Cinygmula,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,3.34,0.11018578
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Ironodes,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,6.68,2.878758788
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Rhithrogena,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1.67,3.833012441
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,15.03,3.622652241
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,10.02,0.487403144
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Polypedilum,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,3.34,0.345337898
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Cladotanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,1.67,0.018441
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,3.34,0.13157157
South Fork McKenzie River,Disturbed,Submerged Wood,2019-10-16,1,Diamesa,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,1.67,0.11313057
