Waterbody,Treatment,Substrate,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Length,Abundance,Biomass
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Attenella margarita,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,2,48,3.1596191
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Attenella margarita,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,3,96,18.70186576
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Attenella margarita,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,4,48,20.19254219
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Epeorus albertae group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,3,48,10.68210711
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Epeorus albertae group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,5,48,43.6142476
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Serratella micheneri,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,2,48,3.549682132
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Serratella micheneri,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,4,96,50.48174373
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1,2400,12.72
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,2928,113.8434844
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,1056,131.7235405
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,192,54.7645563
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5,144,78.0148224
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,3.5,96,13.05376705
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,4,48,9.342696309
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Matriella teresa,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,4,48,25.24087186
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Caudatella edmundsi,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,6,48,59.76008522
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Ampumixis dispar,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,4,48,19.22222569
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Ampumixis dispar,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,4.5,48,26.98185377
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Cleptelmis addenda,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,2,96,5.225986822
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Isoperla,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,1.5,48,2.859825545
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,2.5,288,39.87465764
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,3.5,192,70.03390182
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,5,48,48.88899104
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,7,48,128.7993553
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Capniidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Capniidae,stoneflies,2,48,1.388916593
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Capniidae,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Capniidae,stoneflies,3,48,3.924840136
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Suwalliini,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Chloroperlidae,stoneflies,7,48,62.54630453
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Skwala,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlodidae,stoneflies,2.5,240,58.02549004
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Pteronarcys californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,7,96,464.7864946
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,2,144,5.470101276
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,2.5,144,10.13119847
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,3,432,50.28988927
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Malenka,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Nemouridae,stoneflies,4,96,24.73710976
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Arctopsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,3,288,32.97669373
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Arctopsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,6,48,41.77049556
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Arctopsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,2,48,1.678080676
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,2.5,144,23.71791388
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,1.5,48,0.723172817
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,10,48,186.2083145
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,13,96,802.4672433
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Rhyacophila brunnea/vemna group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,6,48,40.42886349
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,2,144,2.321634264
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,3,192,10.49405467
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,4,48,6.238409324
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,5,48,12.2143375
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Brachycentrus americanus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,1,48,0.12
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Brachycentrus occidentalis,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,6,48,57.32657575
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,4,96,17.68111834
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,5,48,15.60316238
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Chelifera/Metachela,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,6,48,24.82036025
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,1.5,48,0.249657471
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,48,1.531581339
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,96,6.503314178
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Chironomidae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,5,48,5.830667068
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,3,96,3.063162677
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,4,192,13.00662836
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,6,96,18.79167793
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Thienemannimyia complex,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,7,48,14.06485675
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Pagastia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,5,48,5.830667068
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Eukiefferiella devonica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,192,2.120162909
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Eukiefferiella devonica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,48,1.531581339
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Eukiefferiella pseudomontana group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,48,1.531581339
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Eukiefferiella claripennis group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,48,0.530040727
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,432,4.770366545
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,336,10.72106937
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Orthocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,4,144,9.754971266
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Rheocricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,96,3.063162677
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Rheocricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,4,144,9.754971266
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Rheocricotopus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,5,48,5.830667068
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Stempellinella,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,2,48,0.530040727
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Corynoneura,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,48,0.530040727
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Thienemanniella,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,48,0.530040727
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Tvetenia bavarica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,2,384,4.240325817
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Tvetenia bavarica group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,3,144,4.594744016
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Parametriocnemus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,5,48,5.830667068
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,2,48,0.530040727
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,3,192,6.126325354
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,4,432,29.2649138
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,5,96,11.66133414
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,2,144,1.590122182
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Tanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,3,48,1.531581339
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Dicosmoecus gilvipes,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,31,0.8,75.73799891
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hydropsyche,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,11,1.6,8.203379651
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,19,1.6,76.08285383
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Hesperoperla pacifica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Perlidae,stoneflies,22,0.8,58.01764277
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Pteronarcys californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,40,0.8,343.3486585
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Pteronarcys californica,L,insect,Aquatic,Arthropoda: Insecta,Plecoptera,Pteronarcyidae,stoneflies,32,0.8,193.3685726
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Lebertia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1,76.8,4.0704
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Lebertia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,25.6,0.240850208
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Polycelis,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,Planariidae,flat worms,3,25.6,2.272232137
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Polycelis,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,Planariidae,flat worms,4,25.6,4.239551145
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Polycelis,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,Planariidae,flat worms,6,25.6,10.21141034
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,7,102.4,32.75983547
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Atractides,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1,128,6.784
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Oribatida,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,51.2,0.481700416
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Sperchonopsis,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,25.6,0.240850208
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,1,25.6,0.1728768
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Torrenticola,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1,76.8,4.0704
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Torrenticola,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,25.6,0.240850208
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,2,102.4,12.96377125
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,4,25.6,5.412944379
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Sperchon,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,25.6,0.240850208
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Chydoridae,U,non-insect,Aquatic,Crustacea: Cladocera,x,Chydoridae,water fleas,1,51.2,0.3457536
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Ampumixis dispar,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,6,51.2,65.88690853
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Zaitzevia,L,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Elmidae,riffle beetles,3,25.6,4.478203009
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1.5,51.2,0.870579027
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,102.4,3.981411475
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2.5,128,9.45286301
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,76.8,9.579893851
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3.5,25.6,4.974065071
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Epeorus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,1,76.8,0.82944
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Epeorus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,4,25.6,12.5816308
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1,1459.2,7.73376
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,3276.8,127.4051672
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,768,95.79893851
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,281.6,80.32134924
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5,102.4,55.47720704
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,76.8,9.579893851
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,25.6,7.30194084
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3.5,25.6,4.974065071
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-08-09,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,153.6,43.81164504
